C0 (2602 genes)	C1 (2342 genes)	C2 (2363 genes)
MmuEX0011802	MmuEX0011970	MmuEX0012790
MmuEX0011838	MmuEX0012040	MmuEX0012791
MmuEX0011882	MmuEX0012134	MmuEX0012837
MmuEX0011883	MmuEX0012135	MmuEX0012913
MmuEX0011896	MmuEX0012239	MmuEX0012920
MmuEX0011926	MmuEX0012249	MmuEX0012950
MmuEX0011944	MmuEX0012380	MmuEX0012953
MmuEX0012080	MmuEX0012472	MmuEX0012983
MmuEX0012085	MmuEX0012484	MmuEX0013009
MmuEX0012090	MmuEX0012584	MmuEX0013070
MmuEX0012105	MmuEX0012589	MmuEX0013095
MmuEX0012374	MmuEX0012637	MmuEX0013097
MmuEX0012388	MmuEX0012673	MmuEX0013099
MmuEX0012416	MmuEX0012695	MmuEX0013115
MmuEX0012417	MmuEX0012704	MmuEX0013262
MmuEX0012418	MmuEX0012850	MmuEX0013356
MmuEX0012419	MmuEX0012933	MmuEX0013425
MmuEX0012424	MmuEX0012934	MmuEX0013461
MmuEX0012444	MmuEX0012946	MmuEX0013502
MmuEX0012448	MmuEX0012977	MmuEX0013504
MmuEX0012450	MmuEX0013012	MmuEX0013518
MmuEX0012455	MmuEX0013020	MmuEX0013530
MmuEX0012460	MmuEX0013069	MmuEX0013560
MmuEX0012486	MmuEX0013100	MmuEX0013575
MmuEX0012696	MmuEX0013222	MmuEX0013778
MmuEX0012702	MmuEX0013257	MmuEX0013782
MmuEX0012807	MmuEX0013263	MmuEX0013818
MmuEX0012819	MmuEX0013286	MmuEX0013819
MmuEX0012820	MmuEX0013462	MmuEX0013838
MmuEX0012858	MmuEX0013531	MmuEX0013864
MmuEX0012865	MmuEX0013581	MmuEX0013872
MmuEX0012936	MmuEX0013618	MmuEX0013899
MmuEX0012937	MmuEX0013667	MmuEX0013904
MmuEX0012973	MmuEX0013721	MmuEX0013909
MmuEX0012993	MmuEX0013736	MmuEX0013918
MmuEX0013004	MmuEX0013737	MmuEX0013924
MmuEX0013065	MmuEX0013766	MmuEX0013944
MmuEX0013080	MmuEX0013768	MmuEX0013983
MmuEX0013173	MmuEX0013810	MmuEX0013991
MmuEX0013178	MmuEX0013812	MmuEX0014101
MmuEX0013207	MmuEX0013826	MmuEX0014135
MmuEX0013329	MmuEX0013839	MmuEX0014147
MmuEX0013416	MmuEX0013901	MmuEX0014341
MmuEX0013439	MmuEX0013903	MmuEX0014372
MmuEX0013449	MmuEX0013964	MmuEX0014374
MmuEX0013453	MmuEX0013971	MmuEX0014495
MmuEX0013488	MmuEX0013996	MmuEX0014530
MmuEX0013489	MmuEX0014050	MmuEX0014547
MmuEX0013500	MmuEX0014053	MmuEX0014559
MmuEX0013537	MmuEX0014109	MmuEX0014608
MmuEX0013577	MmuEX0014145	MmuEX0014630
MmuEX0013613	MmuEX0014162	MmuEX0014715
MmuEX0013625	MmuEX0014213	MmuEX0014716
MmuEX0013632	MmuEX0014266	MmuEX0014734
MmuEX0013633	MmuEX0014271	MmuEX0014853
MmuEX0013670	MmuEX0014276	MmuEX0014899
MmuEX0013693	MmuEX0014277	MmuEX0014907
MmuEX0013777	MmuEX0014287	MmuEX0014937
MmuEX0013787	MmuEX0014289	MmuEX0014940
MmuEX0013803	MmuEX0014316	MmuEX0015156
MmuEX0013808	MmuEX0014377	MmuEX0015169
MmuEX0013817	MmuEX0014387	MmuEX0015179
MmuEX0013850	MmuEX0014405	MmuEX0015180
MmuEX0013854	MmuEX0014423	MmuEX0015243
MmuEX0013871	MmuEX0014518	MmuEX0015295
MmuEX0013979	MmuEX0014522	MmuEX0015323
MmuEX0014042	MmuEX0014540	MmuEX0015457
MmuEX0014055	MmuEX0014543	MmuEX0015508
MmuEX0014061	MmuEX0014669	MmuEX0015528
MmuEX0014126	MmuEX0014680	MmuEX0015530
MmuEX0014156	MmuEX0014732	MmuEX0015585
MmuEX0014191	MmuEX0014819	MmuEX0015646
MmuEX0014362	MmuEX0014829	MmuEX0015685
MmuEX0014379	MmuEX0014878	MmuEX0015727
MmuEX0014386	MmuEX0014953	MmuEX0015790
MmuEX0014483	MmuEX0015134	MmuEX0015793
MmuEX0014667	MmuEX0015248	MmuEX0015795
MmuEX0014687	MmuEX0015318	MmuEX0015796
MmuEX0014692	MmuEX0015329	MmuEX0015822
MmuEX0014726	MmuEX0015400	MmuEX0015874
MmuEX0014789	MmuEX0015506	MmuEX0015875
MmuEX0014791	MmuEX0015588	MmuEX0016026
MmuEX0014801	MmuEX0015628	MmuEX0016066
MmuEX0014834	MmuEX0015638	MmuEX0016067
MmuEX0014908	MmuEX0015639	MmuEX0016079
MmuEX0014935	MmuEX0015686	MmuEX0016138
