C0 (876 genes)	C1 (904 genes)	C2 (701 genes)	C3 (645 genes)	C4 (809 genes)	C5 (832 genes)
MmuINT1027951	MmuINT1021103				MmuINT1032372
MmuINT1028525	MmuINT1021879				MmuINT1032387
MmuINT1028663	MmuINT1022078				MmuINT1032525
MmuINT1029800	MmuINT1022382				MmuINT1032627
MmuINT1030059	MmuINT1022429				MmuINT1033830
MmuINT1030078	MmuINT1022754				MmuINT1034012
MmuINT1030100	MmuINT1022828				MmuINT1034097
MmuINT1030187	MmuINT1022837				MmuINT1034144
MmuINT1030189	MmuINT1022877				MmuINT1034531
MmuINT1030275	MmuINT1022881				MmuINT1035749
MmuINT1030466	MmuINT1023088				MmuINT1035815
MmuINT1030470	MmuINT1023175				MmuINT1035844
MmuINT1030539	MmuINT1023245				MmuINT1036041
MmuINT1030600	MmuINT1023381				
MmuINT1031089	MmuINT1023404				
MmuINT1031117	MmuINT1023423				
MmuINT1031141	MmuINT1023522				
MmuINT1031176	MmuINT1023972				
MmuINT1031316	MmuINT1023989				
MmuINT1031717	MmuINT1024274				
MmuINT1031932	MmuINT1024442				
MmuINT1032222	MmuINT1024608				
MmuINT1032934	MmuINT1024755				
MmuINT1033075	MmuINT1025978				
MmuINT1033249	MmuINT1026176				
MmuINT1033463	MmuINT1026341				
MmuINT1033494	MmuINT1026466				
MmuINT1033600	MmuINT1026636				
MmuINT1033614	MmuINT1027024				
MmuINT1033670	MmuINT1027086				
MmuINT1034023	MmuINT1027272				
MmuINT1034163	MmuINT1027320				
MmuINT1034169	MmuINT1027323				
MmuINT1034193	MmuINT1027394				
MmuINT1034282	MmuINT1027714				
MmuINT1034301	MmuINT1028679				
MmuINT1034348	MmuINT1029401				
MmuINT1034359	MmuINT1029412				
MmuINT1034393	MmuINT1029515				
MmuINT1034413	MmuINT1029792				
MmuINT1034451	MmuINT1029863				
MmuINT1034573	MmuINT1029928				
MmuINT1035291	MmuINT1030019				
MmuINT1035352	MmuINT1030114				
MmuINT1035353	MmuINT1030212				
MmuINT1035411	MmuINT1030231				
MmuINT1035420	MmuINT1030435				
MmuINT1035433	MmuINT1030870				
MmuINT1035463	MmuINT1031084				
MmuINT1035531	MmuINT1031085				
MmuINT1035563	MmuINT1031310				
MmuINT1035601	MmuINT1031728				
MmuINT1035641	MmuINT1031747				
MmuINT1035647	MmuINT1031809				
MmuINT1035648	MmuINT1031863				
MmuINT1035773	MmuINT1031875				
MmuINT1035781	MmuINT1031926				
	MmuINT1032098				
	MmuINT1032197				
	MmuINT1032227				
	MmuINT1032342				
	MmuINT1033070				
	MmuINT1033103				
	MmuINT1033328				
	MmuINT1033558				
	MmuINT1033602				
	MmuINT1034055				
	MmuINT1034117				
	MmuINT1034205				
	MmuINT1034210				
	MmuINT1034269				
	MmuINT1034288				
	MmuINT1034294				
	MmuINT1034445				
	MmuINT1034498				
	MmuINT1035038				
	MmuINT1035160				
	MmuINT1035276				
	MmuINT1035311				
	MmuINT1035763				
	MmuINT1035849				
	MmuINT1035854				
	MmuINT1035880				
	MmuINT1035890				
	MmuINT1035909				
