C0 (876 genes)	C1 (904 genes)	C2 (701 genes)	C3 (645 genes)	C4 (809 genes)	C5 (832 genes)
MmuINT0041267	MmuINT0033623	MmuINT0056348	MmuINT0056614	MmuINT0042700	MmuINT0043099
MmuINT0041430	MmuINT0033981	MmuINT0056716	MmuINT0056637	MmuINT0043055	MmuINT0043134
MmuINT0042180	MmuINT0033983	MmuINT0056755	MmuINT0056722	MmuINT0043146	MmuINT0043328
MmuINT0042344	MmuINT0034517	MmuINT0056814	MmuINT0057229	MmuINT0043181	MmuINT0043442
MmuINT0042507	MmuINT0034582	MmuINT0056840	MmuINT0057237	MmuINT0044059	MmuINT0043492
MmuINT0043381	MmuINT0034628	MmuINT0056854	MmuINT0057244	MmuINT0044069	MmuINT0043642
MmuINT0045439	MmuINT0034664	MmuINT0057704	MmuINT0057520	MmuINT0044216	MmuINT0044188
MmuINT0045650	MmuINT0034692	MmuINT0058123	MmuINT0057598	MmuINT0045937	MmuINT0044591
MmuINT0045667	MmuINT0034859	MmuINT0058514	MmuINT0057985	MmuINT0046311	MmuINT0045492
MmuINT0045965	MmuINT0035222	MmuINT0058779	MmuINT0058040	MmuINT0046377	MmuINT0045878
MmuINT0046208	MmuINT0035520	MmuINT0058967	MmuINT0058134	MmuINT0046546	MmuINT0046083
MmuINT0046313	MmuINT0036114	MmuINT0059262	MmuINT0058857	MmuINT0046551	MmuINT0046436
MmuINT0046451	MmuINT0036312	MmuINT0059817	MmuINT0059047	MmuINT0046579	MmuINT0046514
MmuINT0047087	MmuINT0036411	MmuINT0059865	MmuINT0059145	MmuINT0046626	MmuINT0046826
MmuINT0047431	MmuINT0036532	MmuINT0061038	MmuINT0059198	MmuINT0047104	MmuINT0046844
MmuINT0047592	MmuINT0037117	MmuINT0061258	MmuINT0059552	MmuINT0047193	MmuINT0046899
MmuINT0047977	MmuINT0037413	MmuINT0061268	MmuINT0059639	MmuINT0047246	MmuINT0046905
MmuINT0048250	MmuINT0037814	MmuINT0061350	MmuINT0059878	MmuINT0047369	MmuINT0046966
MmuINT0048507	MmuINT0037863	MmuINT0061426	MmuINT0060476	MmuINT0047491	MmuINT0047096
MmuINT0048667	MmuINT0038168	MmuINT0061456	MmuINT0060649	MmuINT0047538	MmuINT0047134
MmuINT0049137	MmuINT0038224	MmuINT0061826	MmuINT0061311	MmuINT0047593	MmuINT0047157
